year,False,True,Share (%)
2020,527,92,14.862681744749596
2021,511,51,9.07473309608541
2022,452,72,13.740458015267176
2023,353,61,14.734299516908212
2024,420,85,16.831683168316832
2025,269,51,15.937499999999998
