journal,title,year,doi,url,has_keyword
Scientometrics,Academic influence and invisible colleges through editorial board interlocking in communication sciences: a social network analysis of leading journals,2020,https://doi.org/10.1007/s11192-020-03401-z,https://openalex.org/W3007474713,True
Scientometrics,Do journals flipping to gold open access show an OA citation or publication advantage?,2020,https://doi.org/10.1007/s11192-020-03546-x,https://openalex.org/W3035005301,True
Scientometrics,"Review and analysis of publications on scientific mobility: assessment of influence, motivation, and trends",2020,https://doi.org/10.1007/s11192-020-03515-4,https://openalex.org/W3033691419,True
Scientometrics,Recommendation system for technology convergence opportunities based on self-supervised representation learning,2020,https://doi.org/10.1007/s11192-020-03731-y,https://openalex.org/W3095110579,True
Scientometrics,Predicting future technological convergence patterns based on machine learning using link prediction,2021,https://doi.org/10.1007/s11192-021-03999-8,https://openalex.org/W3163141190,True
Scientometrics,"Deep learning, deep change? Mapping the evolution and geography of a general purpose technology",2021,https://doi.org/10.1007/s11192-021-03936-9,https://openalex.org/W3149137030,True
Scientometrics,A novel hybrid paper recommendation system using deep learning,2022,https://doi.org/10.1007/s11192-022-04420-8,https://openalex.org/W4281969512,True
Scientometrics,Ten reasons why research collaborations succeed—a random forest approach,2023,https://doi.org/10.1007/s11192-022-04629-7,https://openalex.org/W4313814259,True
Scientometrics,Prediction of patent grant and interpreting the key determinants: an application of interpretable machine learning approach,2023,https://doi.org/10.1007/s11192-023-04736-z,https://openalex.org/W4381743706,True
Scientometrics,Exploring the determinants of research performance for early-career researchers: a literature review,2023,https://doi.org/10.1007/s11192-023-04868-2,https://openalex.org/W4388775210,True
Scientometrics,Measuring knowledge flow in the interdisciplinary field of biosecurity: full counting method or fractional counting method?,2025,https://doi.org/10.1007/s11192-025-05249-7,https://openalex.org/W4407331417,True
Scientometrics,A comparison of citation-based clustering and topic modeling for science mapping,2025,https://doi.org/10.1007/s11192-025-05324-z,https://openalex.org/W4409809050,True
Scientometrics,How lonely or influential is the Lone Wolf? An analysis of individual scholars’ solo-authorship dynamics,2025,https://doi.org/10.1007/s11192-025-05332-z,https://openalex.org/W4410092270,True
Scientometrics,"Research quality evaluation by AI in the era of large language models: advantages, disadvantages, and systemic effects – An opinion paper",2025,https://doi.org/10.1007/s11192-025-05361-8,https://openalex.org/W4412684458,True
Scientometrics,The world-systemic network of global elite sociology: the western male monoculture at faculties of the top one-hundred sociology departments of the world,2020,https://doi.org/10.1007/s11192-020-03563-w,https://openalex.org/W3036497540,True
Scientometrics,Automatic document screening of medical literature using word and text embeddings in an active learning setting,2020,https://doi.org/10.1007/s11192-020-03648-6,https://openalex.org/W3083306642,True
Scientometrics,Does newspapers coverage influence the citations count of scientific publications? An analysis of biomedical studies,2020,https://doi.org/10.1007/s11192-020-03380-1,https://openalex.org/W3007099649,True
Scientometrics,Can tweets be used to detect problems early with scientific papers? A case study of three retracted COVID-19/SARS-CoV-2 papers,2021,https://doi.org/10.1007/s11192-021-03962-7,https://openalex.org/W3158277584,True
Scientometrics,"Standard-relevant publications: evidence, processes and influencing factors",2021,https://doi.org/10.1007/s11192-021-04210-8,https://openalex.org/W4200201942,True
Scientometrics,Application of k-means clustering algorithm to improve effectiveness of the results recommended by journal recommender system,2022,https://doi.org/10.1007/s11192-022-04397-4,https://openalex.org/W4281249277,True
Scientometrics,System dynamic analysis on industry-university-research institute synergetic innovation process based on knowledge flow,2022,https://doi.org/10.1007/s11192-021-04244-y,https://openalex.org/W4206546632,True
